Room_Width,Room_Height,Furniture_Placement
13,14,"Dining Table(2,6);Chair(6,7);Wardrobe(7,0);Chair(5,8)"
8,11,"Dining Table(0,1);Dining Table(4,0);Dining Table(4,0);Dining Table(2,3);Bed(4,8)"
13,13,"Dining Table(7,0);Sofa(3,3);Sofa(7,0);Wardrobe(8,10)"
8,9,"Wardrobe(5,4);Chair(4,0);Dining Table(1,3);Sofa(0,3);Bed(3,2)"
11,9,"Bed(0,3);Table(8,2);Sofa(2,2)"
13,8,"Bookshelf(1,6);Wardrobe(9,2);Dining Table(2,5);Desk(9,7);Dining Table(7,2)"
10,13,"Desk(1,6);Bed(6,10);Sofa(3,4)"
11,8,"Table(9,6);Sofa(1,3);Sofa(2,6);Table(8,3);Dining Table(8,2)"
12,9,"Sofa(3,0);Bookshelf(9,4);Chair(9,6);Desk(2,0)"
9,12,"Chair(0,2);Desk(6,6);Dining Table(1,1);Dining Table(5,2)"
11,9,"Wardrobe(7,5);Table(5,0);Wardrobe(2,6);Desk(3,3)"
13,9,"Dining Table(9,0);Bed(5,2);Dining Table(7,1)"
9,13,"Desk(4,12);Table(3,1);Bookshelf(5,5)"
10,8,"Wardrobe(1,4);Wardrobe(2,2);Desk(1,0)"
13,10,"Dining Table(3,5);Wardrobe(6,2);Wardrobe(3,0);Chair(2,4)"
11,13,"Table(2,0);Dining Table(0,5);Bed(0,4);Table(7,8);Bookshelf(6,10)"
10,8,"Desk(4,3);Bed(1,3);Bed(5,3);Wardrobe(1,3)"
14,9,"Dining Table(8,5);Desk(8,4);Bed(2,0);Bookshelf(1,4);Sofa(3,6)"
10,13,"Desk(1,9);Table(8,5);Bed(4,10);Wardrobe(7,7);Sofa(3,7)"
12,9,"Bookshelf(3,7);Sofa(7,7);Table(8,3);Wardrobe(7,4);Chair(10,7)"
10,12,"Bed(5,3);Wardrobe(4,7);Chair(5,11);Bookshelf(4,2)"
8,12,"Bed(1,10);Wardrobe(5,1);Table(3,4);Sofa(0,5);Bookshelf(5,2)"
14,10,"Chair(10,2);Sofa(0,5);Desk(6,5)"
8,12,"Desk(4,0);Dining Table(3,1);Sofa(3,9);Table(0,5);Desk(0,3)"
14,14,"Table(5,6);Dining Table(4,1);Chair(12,10)"
14,13,"Chair(7,10);Wardrobe(7,4);Dining Table(7,7);Bookshelf(0,11);Dining Table(6,0)"
13,10,"Sofa(9,1);Bed(9,4);Bookshelf(0,6);Sofa(3,6);Dining Table(3,4)"
13,8,"Desk(3,6);Chair(5,3);Wardrobe(4,0)"
12,10,"Desk(0,5);Bed(6,0);Bookshelf(9,7)"
10,12,"Wardrobe(0,6);Wardrobe(2,6);Dining Table(0,1);Chair(6,3)"
8,8,"Desk(1,4);Wardrobe(6,5);Bed(4,4);Bed(2,4);Dining Table(5,1)"
8,9,"Wardrobe(6,1);Table(2,7);Dining Table(3,0);Chair(0,3)"
11,8,"Bed(5,6);Dining Table(5,3);Table(5,1);Dining Table(6,5);Table(0,3)"
9,11,"Bed(0,8);Wardrobe(6,8);Wardrobe(3,4)"
9,10,"Sofa(0,8);Bed(2,2);Desk(1,3)"
10,10,"Chair(8,9);Dining Table(6,3);Desk(1,2);Desk(3,4);Chair(4,8)"
12,14,"Wardrobe(1,9);Sofa(7,4);Dining Table(7,7);Wardrobe(10,9)"
11,14,"Desk(8,8);Chair(6,9);Wardrobe(4,4);Table(1,5)"
12,13,"Chair(8,1);Desk(9,9);Wardrobe(7,8)"
10,13,"Wardrobe(0,0);Sofa(6,5);Dining Table(2,9);Table(1,10)"
10,10,"Bookshelf(3,2);Table(8,0);Sofa(3,3)"
10,8,"Chair(2,1);Bed(3,6);Chair(2,6);Dining Table(7,2);Chair(3,7)"
11,11,"Sofa(2,2);Dining Table(7,1);Dining Table(2,5);Wardrobe(1,4);Bed(2,4)"
8,12,"Bed(1,8);Wardrobe(0,2);Chair(2,10);Wardrobe(5,7);Wardrobe(0,7)"
11,10,"Bookshelf(2,5);Table(7,8);Bed(0,5);Table(3,5)"
13,12,"Sofa(3,5);Sofa(2,0);Sofa(5,4);Bookshelf(3,5)"
8,13,"Bed(3,6);Table(5,10);Bed(4,9);Table(3,11)"
12,11,"Chair(0,5);Bookshelf(9,0);Sofa(2,2);Bed(0,8)"
11,14,"Table(6,12);Dining Table(7,1);Table(2,3)"
8,12,"Sofa(2,8);Bed(1,10);Dining Table(4,6);Dining Table(3,1);Dining Table(0,7)"
11,12,"Bookshelf(7,4);Table(4,10);Chair(5,2);Dining Table(1,8)"
11,9,"Bookshelf(3,1);Table(3,2);Sofa(4,3)"
8,8,"Wardrobe(2,1);Sofa(3,0);Wardrobe(5,5);Desk(4,6)"
12,9,"Chair(6,2);Chair(4,7);Bed(8,1);Desk(1,2);Dining Table(0,2)"
14,9,"Dining Table(9,2);Dining Table(2,5);Wardrobe(4,6);Bookshelf(0,6);Wardrobe(9,0)"
10,13,"Bookshelf(3,1);Wardrobe(4,3);Bookshelf(7,7);Chair(5,12);Wardrobe(7,2)"
13,10,"Sofa(10,0);Wardrobe(5,3);Bed(6,8)"
8,10,"Chair(4,9);Dining Table(2,3);Sofa(5,4);Sofa(5,6)"
10,13,"Desk(7,10);Desk(4,1);Table(7,4)"
10,9,"Table(4,4);Desk(2,3);Sofa(6,2)"
14,11,"Bookshelf(0,1);Desk(9,4);Dining Table(0,6);Table(12,1);Bookshelf(12,5)"
9,10,"Wardrobe(4,3);Chair(2,4);Bookshelf(0,8);Sofa(3,6);Bed(5,3)"
13,14,"Table(11,1);Wardrobe(11,0);Sofa(10,1)"
9,8,"Desk(1,3);Chair(5,2);Desk(4,2)"
8,13,"Chair(1,0);Bookshelf(5,10);Bookshelf(0,0);Bed(1,8)"
9,8,"Desk(2,6);Sofa(6,4);Wardrobe(6,2);Bookshelf(1,6)"
8,10,"Bed(0,5);Bed(2,4);Bookshelf(1,1);Desk(1,2)"
9,9,"Bed(5,3);Table(3,4);Desk(4,7);Table(1,4);Dining Table(6,4)"
11,9,"Dining Table(7,5);Desk(7,5);Sofa(5,1);Chair(3,3)"
10,14,"Bookshelf(7,1);Wardrobe(3,3);Desk(6,11)"
12,14,"Dining Table(5,1);Sofa(3,11);Sofa(2,3)"
10,11,"Wardrobe(2,8);Bookshelf(1,8);Bed(1,9);Chair(6,8);Desk(2,5)"
10,13,"Wardrobe(0,3);Wardrobe(0,7);Table(4,5);Bookshelf(6,6)"
12,12,"Sofa(0,7);Sofa(5,7);Dining Table(2,5);Bed(0,10)"
9,10,"Table(7,3);Wardrobe(4,2);Dining Table(2,5)"
13,11,"Table(9,6);Bookshelf(4,5);Desk(10,5);Bookshelf(11,1)"
11,11,"Wardrobe(6,3);Bed(5,2);Chair(1,0);Dining Table(0,6)"
9,9,"Table(4,6);Table(1,4);Bed(2,6);Bookshelf(3,2)"
9,14,"Table(5,1);Desk(6,0);Table(5,3);Wardrobe(1,8);Bed(0,7)"
9,11,"Dining Table(5,7);Sofa(5,5);Bed(4,7);Table(2,8);Bookshelf(3,6)"
11,13,"Wardrobe(2,5);Dining Table(8,1);Bookshelf(1,1);Bed(0,3);Wardrobe(9,2)"
14,13,"Sofa(3,2);Table(7,10);Desk(7,7);Wardrobe(8,6);Bookshelf(6,1)"
9,14,"Dining Table(0,7);Wardrobe(2,0);Dining Table(2,6);Table(6,9);Dining Table(2,0)"
10,12,"Bed(3,9);Bookshelf(0,8);Wardrobe(6,0)"
9,8,"Wardrobe(2,2);Bed(0,2);Table(6,3)"
11,14,"Table(8,7);Bookshelf(9,1);Bed(5,11);Chair(3,12);Chair(9,1)"
8,13,"Dining Table(1,6);Wardrobe(2,5);Chair(7,11)"
13,9,"Chair(1,5);Dining Table(7,2);Sofa(0,6);Sofa(10,2)"
12,13,"Bed(3,3);Chair(4,12);Dining Table(9,5);Chair(11,12)"
13,11,"Dining Table(7,4);Chair(6,7);Chair(10,3);Bed(9,9);Wardrobe(6,7)"
10,10,"Table(7,8);Sofa(0,5);Desk(3,4);Table(7,8)"
10,13,"Table(1,11);Dining Table(4,8);Sofa(4,7)"
14,12,"Bed(1,3);Sofa(2,3);Dining Table(2,2);Wardrobe(12,7)"
11,12,"Dining Table(4,4);Bookshelf(2,4);Wardrobe(1,9)"
8,11,"Dining Table(5,6);Desk(4,3);Table(3,7);Chair(4,2);Wardrobe(0,1)"
13,13,"Bed(1,6);Wardrobe(10,8);Bed(1,6)"
11,8,"Bed(4,1);Chair(0,6);Bed(2,5);Bed(3,3);Bed(1,4)"
13,10,"Table(9,7);Bookshelf(8,8);Dining Table(5,0);Bed(6,1)"
8,11,"Sofa(4,8);Bookshelf(0,1);Dining Table(2,7);Desk(0,5);Bed(1,5)"
13,13,"Table(6,8);Chair(5,3);Bed(5,7);Sofa(6,11);Chair(11,12)"
8,8,"Wardrobe(4,1);Bookshelf(5,1);Desk(2,6);Desk(2,2)"
8,8,"Bookshelf(4,3);Bookshelf(4,0);Desk(0,6);Dining Table(3,5);Bed(1,3)"
14,9,"Sofa(5,1);Chair(11,4);Chair(6,7);Table(7,1)"
10,14,"Bed(5,5);Bed(0,1);Bookshelf(3,1);Desk(0,11)"
14,11,"Sofa(2,3);Chair(9,8);Table(3,5)"
13,11,"Bookshelf(7,1);Sofa(9,6);Bookshelf(6,1);Wardrobe(2,3);Dining Table(8,3)"
12,11,"Bookshelf(1,6);Dining Table(8,8);Bed(8,4);Chair(10,4)"
11,14,"Desk(8,5);Wardrobe(1,10);Sofa(5,12);Desk(8,12);Dining Table(2,2)"
14,9,"Desk(7,5);Dining Table(1,6);Dining Table(8,6);Sofa(6,2)"
9,13,"Desk(4,9);Desk(4,11);Bookshelf(3,9);Table(1,2);Chair(0,3)"
8,8,"Dining Table(1,2);Chair(3,6);Chair(3,6);Sofa(2,2)"
13,10,"Table(1,8);Desk(8,4);Sofa(6,0);Bookshelf(4,3);Bed(0,4)"
12,10,"Table(3,8);Dining Table(0,1);Bed(3,7)"
9,11,"Sofa(2,3);Bed(1,5);Sofa(4,1)"
10,8,"Dining Table(6,5);Sofa(6,5);Desk(2,2)"
12,8,"Chair(7,4);Chair(0,4);Bookshelf(10,0);Dining Table(4,0)"
14,11,"Dining Table(1,1);Wardrobe(5,1);Bookshelf(2,7);Sofa(3,2)"
12,11,"Bookshelf(6,8);Chair(11,2);Wardrobe(2,0);Table(0,6)"
8,8,"Bookshelf(6,0);Sofa(0,6);Chair(7,5);Chair(4,7);Desk(3,5)"
9,11,"Dining Table(5,8);Chair(2,5);Table(4,4);Wardrobe(5,4)"
11,10,"Desk(6,7);Desk(8,2);Desk(8,7);Dining Table(4,1);Chair(8,5)"
12,11,"Desk(9,5);Bed(8,6);Sofa(4,3);Sofa(1,7);Bed(5,0)"
10,14,"Bookshelf(1,8);Dining Table(7,1);Table(7,1);Bed(3,2);Desk(5,1)"
8,13,"Bookshelf(6,8);Bed(1,6);Bookshelf(5,3);Desk(2,0)"
11,13,"Wardrobe(4,5);Desk(2,2);Bookshelf(2,2);Bookshelf(8,4);Bookshelf(6,8)"
10,11,"Wardrobe(3,6);Desk(6,9);Desk(5,6);Wardrobe(1,2)"
9,11,"Dining Table(4,3);Table(2,1);Wardrobe(5,6)"
9,14,"Chair(8,2);Table(4,5);Wardrobe(7,6);Chair(3,6);Bed(4,12)"
11,8,"Dining Table(7,2);Chair(1,7);Table(3,4)"
10,13,"Bed(3,3);Bookshelf(3,3);Bookshelf(5,6)"
14,10,"Wardrobe(0,1);Desk(3,3);Dining Table(5,1);Desk(10,4)"
8,12,"Bookshelf(3,8);Dining Table(3,0);Wardrobe(5,7);Dining Table(5,9)"
11,13,"Dining Table(4,2);Bed(4,10);Table(1,6)"
13,8,"Dining Table(0,3);Wardrobe(5,2);Desk(5,2)"
8,10,"Desk(5,8);Chair(2,6);Table(5,7);Bookshelf(4,6)"
12,13,"Dining Table(9,6);Sofa(0,6);Wardrobe(10,3);Desk(8,8)"
13,14,"Chair(3,11);Desk(8,1);Table(5,6);Sofa(5,11)"
12,11,"Sofa(3,4);Dining Table(2,3);Table(4,4);Chair(5,7)"
8,11,"Wardrobe(1,1);Dining Table(5,5);Bed(0,0);Sofa(0,2)"
13,12,"Table(1,9);Dining Table(6,0);Chair(1,11);Bed(8,7);Dining Table(0,9)"
9,14,"Chair(6,12);Bookshelf(6,9);Desk(0,3);Wardrobe(1,8)"
8,11,"Wardrobe(4,4);Dining Table(3,5);Dining Table(1,2);Desk(2,9)"
13,8,"Bed(3,1);Desk(10,1);Chair(6,3);Dining Table(10,2)"
9,14,"Desk(5,10);Sofa(0,1);Sofa(6,4);Chair(3,9);Bed(2,9)"
11,10,"Dining Table(1,5);Bed(5,7);Bookshelf(0,6)"
13,11,"Desk(0,3);Wardrobe(8,6);Table(1,9);Desk(6,10);Chair(8,10)"
12,8,"Desk(7,4);Table(2,1);Wardrobe(8,3);Desk(1,1)"
10,13,"Chair(5,7);Bed(0,3);Table(4,11)"
13,10,"Chair(11,0);Bed(7,2);Chair(0,8);Table(3,4);Sofa(5,4)"
14,9,"Bookshelf(6,7);Bookshelf(3,2);Desk(0,4);Bed(1,3)"
13,13,"Dining Table(8,7);Desk(5,7);Bed(6,9);Dining Table(1,5)"
12,11,"Wardrobe(6,0);Desk(9,3);Bed(6,9);Bookshelf(7,5);Chair(5,3)"
8,14,"Chair(1,1);Table(5,1);Desk(4,13);Bed(0,10);Wardrobe(5,2)"
14,9,"Bed(7,0);Dining Table(11,4);Bookshelf(7,5)"
14,14,"Wardrobe(8,7);Desk(7,3);Bed(6,8);Dining Table(3,10)"
13,9,"Wardrobe(2,2);Dining Table(2,4);Table(10,5)"
10,10,"Bookshelf(1,8);Table(1,3);Chair(4,2);Dining Table(3,6);Table(0,1)"
11,10,"Dining Table(2,0);Desk(2,5);Bookshelf(2,6);Table(9,8)"
12,12,"Dining Table(0,2);Chair(11,10);Desk(7,11);Wardrobe(8,2)"
14,10,"Wardrobe(12,2);Table(0,6);Desk(3,8)"
14,8,"Wardrobe(8,0);Chair(5,7);Desk(9,0);Bed(9,1)"
14,14,"Desk(5,7);Wardrobe(9,2);Chair(5,12);Table(7,0);Wardrobe(3,9)"
9,9,"Chair(2,6);Wardrobe(7,1);Desk(5,6)"
12,12,"Bed(8,4);Bed(4,3);Bed(7,1);Bed(1,1);Dining Table(9,2)"
14,8,"Sofa(7,3);Bookshelf(3,0);Wardrobe(4,0)"
13,12,"Wardrobe(1,0);Bookshelf(0,6);Bed(3,7);Bookshelf(5,7)"
10,13,"Bed(1,0);Chair(4,4);Wardrobe(4,3)"
13,8,"Bookshelf(11,0);Bed(7,1);Bookshelf(8,4);Table(8,1);Wardrobe(3,5)"
9,14,"Wardrobe(5,3);Bookshelf(1,1);Dining Table(2,7);Sofa(5,11);Chair(3,0)"
12,13,"Bed(0,9);Dining Table(2,4);Sofa(5,10);Bed(3,2);Bed(3,11)"
13,13,"Dining Table(5,8);Sofa(10,8);Table(7,2);Desk(7,10);Dining Table(0,10)"
8,14,"Bed(2,8);Bookshelf(1,8);Sofa(2,10);Table(6,6);Wardrobe(1,7)"
14,14,"Table(0,10);Chair(12,5);Chair(6,13);Table(7,1);Sofa(1,10)"
9,8,"Bookshelf(5,1);Bookshelf(3,5);Bed(1,3)"
14,8,"Bookshelf(3,0);Table(6,4);Dining Table(9,0)"
10,12,"Wardrobe(5,2);Sofa(4,1);Wardrobe(3,9);Table(5,7);Wardrobe(4,3)"
11,14,"Chair(8,13);Sofa(5,12);Chair(7,12);Chair(0,10)"
13,13,"Table(3,6);Bookshelf(9,1);Wardrobe(5,4)"
8,12,"Bookshelf(5,8);Bookshelf(6,2);Bed(3,3);Desk(1,4);Table(4,0)"
14,11,"Chair(5,8);Table(9,3);Wardrobe(12,1);Desk(3,10)"
8,13,"Table(5,6);Wardrobe(4,6);Wardrobe(4,4);Desk(2,12);Dining Table(0,4)"
12,8,"Bed(8,6);Bookshelf(7,5);Chair(9,0);Chair(7,7);Dining Table(7,0)"
12,12,"Sofa(9,7);Chair(10,6);Table(6,7);Bookshelf(0,7);Wardrobe(3,7)"
8,12,"Table(4,4);Bookshelf(0,9);Bed(0,0);Bookshelf(3,9);Desk(2,7)"
11,11,"Sofa(4,7);Dining Table(6,0);Dining Table(3,3)"
10,13,"Bookshelf(0,8);Bookshelf(4,7);Table(2,6)"
13,8,"Desk(5,6);Sofa(10,6);Bed(9,0);Sofa(4,4);Wardrobe(8,2)"
14,8,"Table(3,1);Sofa(11,5);Bed(0,5);Desk(11,0)"
13,12,"Sofa(6,3);Wardrobe(6,5);Sofa(5,9);Bed(8,1);Desk(4,5)"
9,13,"Sofa(5,8);Wardrobe(0,8);Sofa(5,4)"
11,8,"Table(5,3);Desk(2,3);Bed(4,2);Bookshelf(2,4);Chair(5,4)"
14,12,"Bed(0,9);Wardrobe(6,3);Wardrobe(4,4)"
14,14,"Table(5,7);Sofa(7,12);Dining Table(4,9);Sofa(7,8)"
11,8,"Bed(4,5);Wardrobe(9,2);Table(8,6)"
14,12,"Desk(11,6);Desk(2,0);Desk(8,3);Bed(3,6);Sofa(1,4)"
14,10,"Sofa(5,1);Dining Table(9,4);Desk(6,4);Chair(5,0);Bed(5,0)"
13,12,"Dining Table(1,7);Bed(4,6);Wardrobe(0,1);Dining Table(2,2);Wardrobe(6,4)"
12,8,"Sofa(0,3);Bed(3,1);Bed(0,2);Dining Table(3,3)"
10,12,"Sofa(4,9);Sofa(4,9);Chair(1,0)"
12,12,"Sofa(6,4);Dining Table(2,4);Dining Table(6,5);Dining Table(5,7);Bookshelf(1,9)"
10,14,"Bookshelf(1,7);Chair(1,9);Table(5,5);Wardrobe(5,0)"
12,10,"Dining Table(9,6);Desk(7,2);Desk(5,0);Dining Table(9,5)"
14,14,"Sofa(0,0);Sofa(2,1);Table(6,3)"
11,9,"Chair(4,3);Table(5,6);Dining Table(6,6);Bookshelf(9,0);Bookshelf(8,3)"
10,12,"Bed(3,6);Sofa(6,7);Sofa(4,0)"
9,12,"Sofa(6,0);Sofa(6,1);Desk(2,5)"
8,8,"Sofa(0,1);Bed(4,1);Sofa(1,4)"
9,13,"Table(0,1);Sofa(3,4);Chair(5,0);Wardrobe(1,7)"
10,9,"Sofa(6,3);Wardrobe(8,0);Wardrobe(7,2)"
14,9,"Bookshelf(9,6);Table(9,1);Bookshelf(4,4);Table(12,5)"
11,8,"Desk(1,2);Sofa(5,4);Wardrobe(7,0);Bookshelf(2,4)"
11,8,"Dining Table(3,5);Wardrobe(8,0);Bed(4,2)"
14,13,"Bookshelf(2,6);Bookshelf(1,9);Bookshelf(1,4)"
8,12,"Sofa(2,7);Table(6,6);Bookshelf(6,2)"
13,13,"Bed(8,6);Bookshelf(0,2);Desk(2,1)"
12,12,"Bookshelf(2,10);Table(10,2);Bed(3,2);Sofa(3,8);Bookshelf(9,9)"
8,10,"Desk(0,6);Wardrobe(1,2);Dining Table(1,1);Sofa(5,0);Desk(4,6)"
9,11,"Sofa(0,3);Wardrobe(1,5);Wardrobe(0,7);Dining Table(6,1)"
10,11,"Table(3,0);Sofa(7,3);Table(6,3)"
11,11,"Desk(6,1);Wardrobe(0,1);Dining Table(8,2);Desk(5,4);Table(0,6)"
14,11,"Dining Table(4,8);Desk(1,6);Bed(2,7)"
8,10,"Bed(0,3);Sofa(2,4);Desk(4,8);Chair(1,5);Bed(3,7)"
9,11,"Bookshelf(0,7);Dining Table(2,3);Bed(0,2);Chair(3,3)"
13,11,"Chair(5,3);Chair(1,1);Bed(4,5);Sofa(4,5);Dining Table(3,4)"
13,9,"Sofa(7,2);Sofa(4,2);Chair(2,6);Sofa(10,5);Dining Table(10,6)"
14,9,"Bookshelf(11,3);Bed(0,6);Chair(6,3);Wardrobe(8,6)"
11,9,"Table(0,7);Desk(7,2);Chair(1,3);Wardrobe(9,2);Bed(2,5)"
10,10,"Wardrobe(8,6);Dining Table(7,0);Chair(6,9);Bed(1,2);Chair(7,8)"
13,10,"Chair(0,2);Wardrobe(0,2);Wardrobe(7,4)"
14,9,"Bed(3,1);Sofa(2,7);Bookshelf(9,1);Wardrobe(5,2);Table(3,5)"
10,11,"Table(3,8);Bookshelf(0,5);Table(0,1);Chair(7,4)"
12,11,"Wardrobe(7,6);Chair(0,5);Wardrobe(9,3);Table(10,3);Table(2,8)"
14,10,"Sofa(11,5);Bed(6,1);Desk(8,4)"
8,10,"Bookshelf(1,3);Table(3,7);Bookshelf(1,2)"
13,14,"Bed(8,12);Table(6,5);Table(8,2)"
11,8,"Dining Table(0,0);Table(9,0);Dining Table(4,4);Desk(5,4)"
12,9,"Table(10,2);Bookshelf(0,1);Chair(8,2);Dining Table(2,1);Desk(9,3)"
10,14,"Bed(0,2);Dining Table(5,4);Wardrobe(4,4);Table(2,2)"
10,10,"Desk(3,9);Sofa(6,0);Bed(0,1);Bookshelf(0,1);Sofa(6,2)"
9,13,"Chair(3,9);Desk(4,9);Table(2,8)"
8,13,"Bed(0,10);Dining Table(1,7);Desk(5,5);Table(5,3);Bookshelf(2,4)"
13,12,"Desk(5,4);Chair(1,8);Sofa(7,2)"
12,12,"Chair(6,2);Wardrobe(8,3);Sofa(7,10);Desk(9,1)"
10,10,"Wardrobe(6,6);Dining Table(5,7);Table(6,7);Sofa(4,4);Bed(1,1)"
11,11,"Bed(0,9);Desk(8,1);Bed(5,9)"
11,8,"Table(5,6);Table(8,5);Sofa(7,3);Dining Table(3,1);Bed(7,1)"
8,13,"Desk(1,6);Sofa(1,6);Bed(0,1);Sofa(5,7);Table(6,1)"
13,11,"Bed(8,1);Wardrobe(4,3);Wardrobe(7,0)"
